,Title,Author,Reviewer,Review Date,Date and Time
90,Defiance: The Bielski Partisans,Nechama Tec,C. Peter Chen,28 Feb 2011,2011-02-28 0:00:00
91,Demyansk 1942-43,Robert Forczyk,Andrew Nguyen,20 Aug 2014,2014-08-20 0:00:00
92,Doing Battle,Paul Fussell,Bryan Hiatt,4 Sep 2005,2005-09-04 0:00:00
93,"Don't Give Up, Don't Give In: Lessons from an Extraordinary Life",Louis Zamperini and David Rensin,C. Peter Chen,30 Nov 2016,2016-11-30 0:00:00
94,Double Cross: The True Story of the D-Day Spies,Ben Macintyre,C. Peter Chen,14 Aug 2013,2013-08-14 0:00:00
95,Easy Company Soldier,Don Malarkey Bob Welch,C. Peter Chen,28 Jan 2015,2015-01-28 0:00:00
96,Eichmann in Jerusalem,Hannah Arendt,C. Peter Chen,12 Nov 2013,2013-11-12 0:00:00
97,Eisenhower,John Wukovits,C. Peter Chen,3 Jan 2011,2011-01-03 0:00:00
98,Eisenhower's Armies,Niall Barr,C. Peter Chen,12 Jan 2018,2018-01-12 0:00:00
99,Empires in the Balance *,,Craig Burke,Apr 2000,
100,End of Empire,"David Chandler, et. al.",C. Peter Chen,19 Jul 2019,2019-07-19 0:00:00
101,Enterprise,Barrett Tillman,C. Peter Chen,5 Feb 2013,2013-02-05 0:00:00
102,Erwin Rommel,Pier Paolo Battistelli,C. Peter Chen,29 Sep 2010,2010-09-29 0:00:00
103,Escape from the Deep,Alex Kershaw,C. Peter Chen,25 Dec 2010,2010-12-25 0:00:00
104,Escort Carrier WW II,Rick Cline,David Stubblebine,25 Nov 2008,2008-11-25 0:00:00
105,Evacuees of the Second World War,Mike Brown,C. Peter Chen,11 Nov 2009,2009-11-11 0:00:00
106,Everyone Brave is Forgiven,Chris Cleave,C. Peter Chen,14 Jun 2017,2017-06-14 0:00:00
107,Extraordinary Heroes,Ruth Sheppard,C. Peter Chen,20 Feb 2011,2011-02-20 0:00:00
108,F4F Wildcat vs. A6M Zero-sen,Edward M. Young,Andrew Nguyen,3 Aug 2016,2016-08-03 0:00:00
109,F6F Hellcat vs A6M Zero-sen,Edward M. Young,Andrew Nguyen,11 Nov 2015,2015-11-11 0:00:00
110,Fairbairn-Sykes Commando Dagger,Leroy Thompson,C. Peter Chen,25 Mar 2011,2011-03-25 0:00:00
111,Fearsome Battle,Robert Rogge,C. Peter Chen,31 May 2007,2007-05-31 0:00:00
112,Fighting Hitler's Jets,Robert Dorr,C. Peter Chen,2 Jun 2014,2014-06-02 0:00:00
113,Final Victory: FDR's Extraordinary World War II Presidential Campaign,Stanley Weintraub,C. Peter Chen,22 May 2013,2013-05-22 0:00:00
114,Flags of Our Fathers,James Bradley and Ron Powers,C. Peter Chen,22 Sep 2006,2006-09-22 0:00:00
115,Flat-Bottom Odyssey: From North Africa to D-Day,Gene Jaeger,C. Peter Chen,12 Jan 2013,2013-01-12 0:00:00
116,Flyboys: A True Story of Courage,James Bradley,David Stubblebine,7 Jul 2008,2008-07-07 0:00:00
117,Fogg in the Cockpit,Richard Fogg and Janet Fogg,C. Peter Chen,11 May 2012,2012-05-11 0:00:00
118,Forgotten,Linda Hervieux,C. Peter Chen,6 Apr 2018,2018-04-06 0:00:00
119,Forgotten Sacrifice,Michael Walling,C. Peter Chen,2 Oct 2012,2012-10-02 0:00:00
120,Fortress Rabaul,Bruce Gamble,C. Peter Chen,11 Sep 2012,2012-09-11 0:00:00
121,Fragments of Isabella: A Memoir of Auschwitz,Isabella Leitner,C. Peter Chen,12 Sep 2018,2018-09-12 0:00:00
122,France 1940,Alan Shepperd,Andrew Nguyen,5 Sep 2009,2009-09-05 0:00:00
123,Franklin and Eleanor: An Extraordinary Marriage,Hazel Rowley,C. Peter Chen,30 Jul 2014,2014-07-30 0:00:00
124,Franklin and Lucy,Joseph Persico,C. Peter Chen,19 Feb 2013,2013-02-19 0:00:00
125,Franklin and Winston: An Intimate Portrait of an Epic Friendship,Jon Meacham,C. Peter Chen,27 Jun 2011,2011-06-27 0:00:00
