,Name,Type,Location,Country
182,Pentagon ,Military Headquarters ,"Arlington, Virginia ",United States 
183,Petrozavodsk Concentration Camp ,Prison Camp ,"Petrozavodsk, Karelia ",Russia 
184,Philadelphia Navy Yard ,"Factory, Shipyard ","Philadelphia, Pennsylvania ",United States 
185,Plzen Skoda Works Complex ,Factory ,"Plzen, Plzen ",Czechoslovakia 
186,Puget Sound Navy Yard ,Shipyard ,"Bremerton, Washington ",United States 
187,Pungchacheng Airfield ,Airfield ,"Quzhou, Zhejiang ",China 
188,Pyeongtaek Airfield ,Airfield ,"Pyeongtaek, Gyeonggi ",Korea 
189,Quantico Marine Corps Base ,Fortification ,"Quantico, Virginia ",United States 
190,RAF Hal Far ,Airfield ,Hal Far ,Malta 
191,RAF Luqa ,Airfield ,Luqa ,Malta 
192,RAF Newchurch ,Airfield ,"Newchurch, England ",United Kingdom 
193,RAF Takali ,Airfield ,Ta' Qali ,Malta 
194,RAF Woodhall Spa ,Airfield ,"Woodhall Spa, England ",United Kingdom 
195,Ramgarh Training Center ,Army Base ,"Ramgarh, Bihar ",India 
196,RavensbrÃ¼ck Concentration Camp ,Prison Camp ,"RavensbrÃ¼ck, Mark Brandenburg ",Germany 
197,Reich Chancellery ,Government Building ,Berlin ,Germany 
198,Reichstag Building and Kroll Opera House ,Government Building ,Berlin ,Germany 
199,Reigaryo Airfield ,Airfield ,"Takao, Takao ",Taiwan 
200,Reiherstieg-Schiffswerft und Maschinenfabrik ,Shipyard ,Hamburg ,Germany 
201,Rickmers ,Shipyard ,"Bremerhaven, Weser-Ems ",Germany 
202,ROF Chorley ,Factory ,"Euxton, England ",United Kingdom 
203,Roosevelt Roads Naval Base ,Naval Port ,Ceiba ,Puerto Rico 
204,Ryojun Guard District ,Naval Port ,"Lushunkou, Liaoning ",China 
205,Sachsenhausen Concentration Camp ,Prison Camp ,"Oranienburg, Mark Brandenburg ",Germany 
206,Saidor Airfield ,Airfield ,Saidor ,Australian New Guinea 
207,Sasebo Naval Arsenal ,Shipyard ,"Sasebo, Nagasaki ",Japan 
208,Scapa Flow ,Naval Port ,"Scapa Flow, Scotland ",United Kingdom 
209,Schiffbau Gesellschaft Unterweser Gmbh ,Shipyard ,"Bremerhaven, Weser-Ems ",Germany 
210,SchloÃ Wewelsburg ,Other ,"BÃ¼ren, Westfalen ",Germany 
211,Schofield Barracks ,Army Base ,"Schofield, Oahu ",Hawaii 
212,Schweinfurt Ball Bearing Factories ,Factory ,"Schweinfurt, Mainfranken ",Germany 
213,Seebeckwerft ,Shipyard ,"Bremerhaven, Weser-Ems ",Germany 
214,Sembawang Bases ,"Airfield, Army Base, Naval Port, Shipyard ","Sembawang, Singapore ",Singapore 
215,Shinchiku Airfield ,Airfield ,"Shinchiku, Shinchiku ",Taiwan 
216,Shoka Airfield ,Airfield ,"Shoka, Taichu ",Taiwan 
217,Shuangliu Airfield ,Airfield ,"Chengdu, Sichuan ",China 
218,SobibÃ³r Concentration Camp ,Prison Camp ,"SobibÃ³r, Lublin ",Poland 
219,Soton Airfield ,Airfield ,"Soton, Taichu ",Taiwan 
220,St. Croix Airfield ,Airfield ,St. Croix ,US Virgin Islands 
221,Stalingrad Tractor Factory ,Factory ,"Stalingrad, Stalingrad ",Russia 
222,Stanley Prison and St Stephen's College ,Prison Camp , ,Hong Kong 
223,Suichuan Airfield ,Airfield ,"Suichuan, Jiangxi ",China 
224,Taichu Airfield ,Airfield ,"Taichu, Taichu ",Taiwan 
225,Taichu West Airfield ,Airfield ,"Taichu, Taichu ",Taiwan 
226,Taihoku General Government Building ,Government Building ,"Taihoku, Taihoku ",Taiwan 
227,Taihoku Prison ,Prison Camp ,"Taihoku, Taihoku ",Taiwan 
228,Taihoku Prisoner of War Camp No 6 ,Prison Camp ,"Taihoku, Taihoku ",Taiwan 
229,Takao Guard District ,Naval Port ,"Takao, Takao ",Taiwan 
230,Takao Seaplane Base ,Airfield ,"Takao, Takao ",Taiwan 
231,Tamsui Seaplane Base ,Airfield ,"Tamsui, Taihoku ",Taiwan 
232,Tecklenborg Werft ,Shipyard ,Bremerhaven ,Germany 
233,Theresienstadt Concentration Camp ,Prison Camp ,"TerezÃ­n, Cechy ",Czechoslovakia 
234,Tianhe Airfield ,Airfield ,"Guangzhou, Guangdong ",China 
235,Toronto Inglis Factory ,Factory ,"Toronto, Ontario ",Canada 
236,Toulon Military Port ,Naval Port ,"Toulon, Provence-Alpes-CÃ´te d'Azur ",France 
237,Treblinka Concentration Camp ,Prison Camp ,"Treblinka, Masovian ",Poland 
238,Uralmash ,Factory ,"Sverdlovsk, Sverdlovsk ",Russia 
239,Vega Baja Auxiliary Airdrome ,Airfield ,Vega Baja ,Puerto Rico 
240,Vemork Heavy Water Plant ,Factory ,"Tinn, Telemark ",Norway 
241,Vladivostok Naval Base , ,"Vladivostok, Primorsky Krai ",Russia 
242,Vorkuta Forced Labor Camp ,Prison Camp ,"Vorkuta, Komi ",Russia 
243,Washington Navy Yard ,"Factory, Shipyard ",Washington ,United States 
244,Wauwilermoos Military Prison ,Prison Camp ,"Egolzwil, Lucerne ",Switzerland 
245,Weixian Internment Camp ,Prison Camp ,"Wei, Shandong ",China 
